YEAR,MONTH,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
2001,6,CA,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,107641
2001,6,CA,"Combined Heat and Power, Industrial Power",Other Biomass,2023
2001,6,CA,"Combined Heat and Power, Industrial Power",Other,1139
2001,6,CA,"Combined Heat and Power, Industrial Power",Total,1371304
2001,7,CA,Total Electric Power Industry,Coal,223656
2001,7,CA,Total Electric Power Industry,Petroleum,240223
2001,7,CA,Total Electric Power Industry,Natural Gas,10845767
2001,7,CA,Total Electric Power Industry,Other Gases,107268
2001,7,CA,Total Electric Power Industry,Nuclear,3294607
2001,7,CA,Total Electric Power Industry,Hydroelectric Conventional,3002483
2001,7,CA,Total Electric Power Industry,Wind,440390
2001,7,CA,Total Electric Power Industry,Solar Thermal and Photovoltaic,91921
2001,7,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,297554
2001,7,CA,Total Electric Power Industry,Geothermal,1048478
2001,7,CA,Total Electric Power Industry,Other Biomass,185195
2001,7,CA,Total Electric Power Industry,Pumped Storage,-665
2001,7,CA,Total Electric Power Industry,Other,17679
2001,7,CA,Total Electric Power Industry,Total,19794556
2001,7,CA,"Electric Generators, Electric Utilities",Petroleum,33825
2001,7,CA,"Electric Generators, Electric Utilities",Natural Gas,995733
2001,7,CA,"Electric Generators, Electric Utilities",Nuclear,3294607
2001,7,CA,"Electric Generators, Electric Utilities",Hydroelectric Conventional,2947090
2001,7,CA,"Electric Generators, Electric Utilities",Wind,1144
2001,7,CA,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,390
2001,7,CA,"Electric Generators, Electric Utilities",Geothermal,-31
2001,7,CA,"Electric Generators, Electric Utilities",Other Biomass,17079
2001,7,CA,"Electric Generators, Electric Utilities",Pumped Storage,-665
2001,7,CA,"Electric Generators, Electric Utilities",Total,7289172
2001,7,CA,"Electric Generators, Independent Power Producers",Petroleum,81439
2001,7,CA,"Electric Generators, Independent Power Producers",Natural Gas,6786511
2001,7,CA,"Electric Generators, Independent Power Producers",Other Gases,0
2001,7,CA,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,55393
2001,7,CA,"Electric Generators, Independent Power Producers",Wind,439246
