status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,524900,2,2,,"38 Beacon St Unit 1, Chelsea, MA, 02150",38 Beacon St Unit 1,Chelsea,Massachusetts,2150,1310,11/13/18
for_sale,624900,1,1,0.02,"8 Whittier Pl Apt 14F, Boston, MA, 02114",8 Whittier Pl Apt 14F,Boston,Massachusetts,2114,908,1/28/11
for_sale,595000,2,1,,"40 Clifton St Apt 21, Cambridge, MA, 02140",40 Clifton St Apt 21,Cambridge,Massachusetts,2140,709,8/3/18
for_sale,790000,1,1,,"9 Medford St Ph 7, Somerville, MA, 02143",9 Medford St Ph 7,Somerville,Massachusetts,2143,751,3/15/19
for_sale,1795000,2,2,,"28 Atlantic Ave Unit 513, Boston, MA, 02110",28 Atlantic Ave Unit 513,Boston,Massachusetts,2110,1515,6/4/10
for_sale,595000,2,1,4.04,"130 Boylston St Apt 2, Newton, MA, 02467",130 Boylston St Apt 2,Newton,Massachusetts,2467,959,8/12/19
for_sale,569000,1,1,0.01,"192 W 7th St Apt 3, Boston, MA, 02127",192 W 7th St Apt 3,Boston,Massachusetts,2127,641,10/14/16
for_sale,589900,2,2,0.02,"46 W Eagle St Apt 2, Boston, MA, 02128",46 W Eagle St Apt 2,Boston,Massachusetts,2128,923,10/28/19
for_sale,1299000,2,2,0.03,"26 Stillman St Apt 2-1, Boston, MA, 02113",26 Stillman St Apt 2-1,Boston,Massachusetts,2113,1328,4/9/21
for_sale,1550000,4,3,0.09,"46 Ackers Ave Unit 1, Brookline, MA, 02445",46 Ackers Ave Unit 1,Brookline,Massachusetts,2445,1942,6/25/20
for_sale,2749000,3,3,,"346 Congress St Unit 502, Boston, MA, 02210",346 Congress St Unit 502,Boston,Massachusetts,2210,1945,12/10/14
for_sale,700000,1,2,,"3 Winthrop St Unit 2, Boston, MA, 02129",3 Winthrop St Unit 2,Boston,Massachusetts,2129,659,4/10/20
for_sale,899000,1,1,,"45 W 3rd St Apt 504, Boston, MA, 02127",45 W 3rd St Apt 504,Boston,Massachusetts,2127,768,9/18/20
for_sale,789900,2,1,,"453 Washington St Apt 5, Brookline, MA, 02446",453 Washington St Apt 5,Brookline,Massachusetts,2446,904,11/2/21
for_sale,1500000,2,2,,"110 Stuart St Unit 18C, Boston, MA, 02116",110 Stuart St Unit 18C,Boston,Massachusetts,2116,1286,9/1/21
for_sale,725000,1,1,,"346 Congress St Unit 414, Boston, MA, 02210",346 Congress St Unit 414,Boston,Massachusetts,2210,754,10/26/10
for_sale,2250000,3,3,,"178 Harvard St Unit 178, Cambridge, MA, 02139",178 Harvard St Unit 178,Cambridge,Massachusetts,2139,2341,1/27/20
for_sale,505000,2,1,0.02,"43 Buttonwood St Unit 2, Boston, MA, 02125",43 Buttonwood St Unit 2,Boston,Massachusetts,2125,747,6/30/21
for_sale,1365000,4,4,0.46,"42 Birch Dr, Concord, MA, 01742",42 Birch Dr,Concord,Massachusetts,1742,2831,11/15/19
for_sale,3550000,6,8,0.07,"24 Bartlett Cres, Brookline, MA, 02446",24 Bartlett Cres,Brookline,Massachusetts,2446,4514,11/1/19
for_sale,525000,1,1,0.01,"166 W 6th St Apt 3, Boston, MA, 02127",166 W 6th St Apt 3,Boston,Massachusetts,2127,543,5/31/18
for_sale,829000,2,2,17.48,"250 Hammond Pond Pkwy Apt 213S, Newton, MA, 02467",250 Hammond Pond Pkwy Apt 213S,Newton,Massachusetts,2467,1285,4/26/12
for_sale,639900,2,2,,"46 Newport St Unit 1, Boston, MA, 02125",46 Newport St Unit 1,Boston,Massachusetts,2125,904,9/23/20
for_sale,1895000,2,3,0.03,"1 Avery St Apt 29C, Boston, MA, 02111",1 Avery St Apt 29C,Boston,Massachusetts,2111,1504,6/1/10
for_sale,309000,1,1,4.25,"3 S Stone Mill Dr Apt 215, Dedham, MA, 02026",3 S Stone Mill Dr Apt 215,Dedham,Massachusetts,2026,744,10/23/14
for_sale,1000000,3,3,,"1 Upham Way Unit 1, Weston, MA, 02493",1 Upham Way Unit 1,Weston,Massachusetts,2493,2990,3/31/21
for_sale,639900,3,1,0.2,"5 Woodcrest Dr, Wakefield, MA, 01880",5 Woodcrest Dr,Wakefield,Massachusetts,1880,1600,5/28/10
for_sale,640000,,1,,"328 Dartmouth St Apt 8, Boston, MA, 02116",328 Dartmouth St Apt 8,Boston,Massachusetts,2116,439,7/12/18
for_sale,579000,1,1,0.02,"30 Peterborough St Apt 34, Boston, MA, 02215",30 Peterborough St Apt 34,Boston,Massachusetts,2215,659,4/20/10
for_sale,525000,2,1,,"104 Farquhar St Unit 1, Boston, MA, 02131",104 Farquhar St Unit 1,Boston,Massachusetts,2131,1000,12/6/19
for_sale,2599000,2,2,,"100 Belvidere St Apt 7D, Boston, MA, 02199",100 Belvidere St Apt 7D,Boston,Massachusetts,2199,1493,6/10/21
for_sale,769000,1,1,,"405 Commonwealth Ave Apt 10, Boston, MA, 02215",405 Commonwealth Ave Apt 10,Boston,Massachusetts,2215,697,11/1/18
for_sale,639000,,1,0.01,"342 Commonwealth Ave Apt 4, Boston, MA, 02115",342 Commonwealth Ave Apt 4,Boston,Massachusetts,2115,530,8/3/12
for_sale,1349000,2,2,0.02,"2 Rollins St Apt D604, Boston, MA, 02118",2 Rollins St Apt D604,Boston,Massachusetts,2118,1049,4/1/19
for_sale,259900,1,1,,"859 Broadway Apt 1, Everett, MA, 02149",859 Broadway Apt 1,Everett,Massachusetts,2149,554,6/30/21
